Country,State,City,Station,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
India,Andhra_Pradesh,Amaravati,Secretariat Amaravati - APPCB,55,70,12,3,25,23,25
India,Andhra_Pradesh,Rajamahendravaram,Anand Kala Kshetram Rajamahendravaram - APPCB,49,82,20,2,5,41,19
India,Andhra_Pradesh,Tirupati,Tirumala Tirupati - APPCB,,,,,,10,
India,Andhra_Pradesh,Visakhapatnam,GVM Corporation Visakhapatnam - APPCB,53,86,37,7,18,21,25
India,Arunachal_Pradesh,Naharlagun,Naharlagun Naharlagun - APSPCB,,,,,,10,39
India,Assam,Guwahati,Pan Bazaar Guwahati - APCB,58,58,9,1,38,17,43
India,Assam,Guwahati,Railway Colony Guwahati - APCB,54,60,8,1,32,19,23
India,Bihar,Gaya,Collectorate Gaya - BSPCB,141,,7,,,87,117
India,Bihar,Gaya,SFTI Kusdihra Gaya - BSPCB,80,79,6,4,12,41,202
India,Bihar,Hajipur,Industrial Area Hajipur - BSPCB,86,147,5,1,4,41,34
India,Bihar,Muzaffarpur,Buddha Colony Muzaffarpur - BSPCB,64,109,,,28,92,38
India,Bihar,Muzaffarpur,Muzaffarpur Collectorate Muzaffarpur - BSPCB,123,,2,,9,36,18
India,Bihar,Patna,DRM Office Danapur Patna - BSPCB,105,182,,,12,26,49
India,Bihar,Patna,Govt. High School Shikarpur Patna - BSPCB,143,125,41,5,16,45,37
India,Bihar,Patna,IGSC Planetarium Complex Patna - BSPCB,,,,,,,
India,Bihar,Patna,Muradpur Patna - BSPCB,117,171,45,5,7,34,61
India,Bihar,Patna,Rajbansi Nagar Patna - BSPCB,,,,,,,
India,Bihar,Patna,Samanpura Patna - BSPCB,161,149,46,3,10,31,81
India,Chandigarh,Chandigarh,Sector-25 Chandigarh - CPCC,112,113,34,13,26,15,47
India,Delhi,Delhi,Alipur Delhi - DPCC,283,334,50,4,40,63,184
India,Delhi,Delhi,Anand Vihar Delhi - DPCC,364,301,122,13,38,118,50
India,Delhi,Delhi,Ashok Vihar Delhi - DPCC,269,288,71,8,54,75,168
India,Delhi,Delhi,Bawana Delhi - DPCC,337,358,20,8,30,48,40
India,Delhi,Delhi,Chandni Chowk Delhi - IITM,,,,,,68,21
India,Delhi,Delhi,DTU Delhi - CPCB,296,305,81,18,32,99,65
India,Delhi,Delhi,Dr. Karni Singh Shooting Range Delhi - DPCC,241,275,67,6,49,55,93
India,Delhi,Delhi,Dwarka-Sector 8 Delhi - DPCC ,286,329,30,15,16,43,52
India,Delhi,Delhi,IHBAS Dilshad Garden Delhi - CPCB,257,237,13,5,21,39,60
